State,Ballot_Box_Law,Voter_Participation_2024
AL,No Law,58.70%
AK,No Law,62.10%
AZ,Broadly Available,61.70%
AR,Banned,52.80%
CA,Required,64.70%
CO,Required,70.10%
CT,Broadly Available,66.30%
DE,Broadly Available,69.80%
FL,Restricted,60.30%
GA,Restricted,64.40%
HI ,Broadly Available,58.50%
ID,Broadly Available,65.20%
IL,Broadly Available,65.90%
IN,Restricted,60.70%
IA,Restricted,71.80%
KS,No Law,70.70%
KY,Required,67.70%
LA,Restricted,58%
ME,Broadly Available,67.10%
MD,Required,71.10%
MA,Broadly Available,68.90%
MI,Required,72.30%
MN,Broadly Available,75.90%
MS,Banned,68.90%
MO,Banned,69.50%
MT,No Law,69.20%
NE,Broadly Available,67.40%
NV,Required,66.90%
NH,No Law,71.90%
NJ,Required,72.50%
NM,Required,66.00%
NY,Broadly Available,59.20%
NC,Restricted,64.60%
ND,Broadly Available,71.20%
OH,Restricted,67.40%
OK,Banned,59.70%
OR,Required,75.30%
PA,Broadly Available,69.70%
RI,Required,70.00%
SC,Restricted,62.70%
SD,Banned,58.90%
TN,Restricted,64.80%
TX,Banned,57.90%
UT,Required,66.90%
VT,Broadly Available,71.70%
VA,Required,72.90%
WA,Required,70.00%
WV,Restricted,59.50%
WI,Broadly Available,72.20%
WY,Broadly Available,63.80%